parcela_ID;date;EVI;EVI_desestacio
109;29/9/2000;0,6026;0,5905
109;15/10/2000;0,5653;0,4647
109;31/10/2000;0,6355;0,6418
109;16/11/2000;0,6417;0,6041
109;2/12/2000;0,771;0,6391
109;18/12/2000;0,6773;0,4716
109;1/1/2001;0,8354;0,4733
109;17/1/2001;0,7965;0,6116
109;2/2/2001;0,3139;0,6214
109;18/2/2001;0,5858;0,5197
109;6/3/2001;0,8505;0,5633
109;22/3/2001;0,7054;0,6092
109;7/4/2001;0,6027;0,5640
109;23/4/2001;0,5722;0,5008
109;9/5/2001;0,6524;0,4199
109;25/5/2001;0,5574;0,5615
109;10/6/2001;0,6182;0,4644
109;26/6/2001;0,4445;0,5359
109;12/7/2001;0,5854;0,5391
109;28/7/2001;0,5575;0,5056
109;13/8/2001;0,49;0,4780
109;29/8/2001;0,4977;0,4833
109;14/9/2001;0,5314;0,5086
109;30/9/2001;0,4602;0,4562
109;16/10/2001;0,6736;0,6173
109;1/11/2001;0,5724;0,5669
109;17/11/2001;0,5655;0,5687
109;3/12/2001;0,6994;0,5356
109;19/12/2001;0,7432;0,4659
109;1/1/2002;0,741;0,5338
109;17/1/2002;0,6062;0,4978
109;2/2/2002;0,6281;0,4501
109;18/2/2002;0,7502;0,5935
109;6/3/2002;0,6535;0,4519
109;22/3/2002;0,143;0,3667
109;7/4/2002;0,6475;0,3986
109;23/4/2002;0,5488;0,4757
109;9/5/2002;0,5998;0,4545
109;25/5/2002;0,6228;0,5864
109;10/6/2002;0,5831;0,5769
109;26/6/2002;0,5183;0,5454
109;12/7/2002;0,498;0,5207
109;28/7/2002;0,5367;0,5376
109;13/8/2002;0,5605;0,5427
109;29/8/2002;0,5185;0,4962
109;14/9/2002;0,578;0,5411
109;30/9/2002;0,4563;0,4869
109;16/10/2002;0,5701;0,5213
109;1/11/2002;0,6788;0,5598
109;17/11/2002;0,6527;0,4685
109;3/12/2002;0,634;0,3968
109;19/12/2002;0,7804;0,5852
109;1/1/2003;0,5917;0,6849
109;17/1/2003;0,7537;0,5426
109;2/2/2003;0,8164;0,5010
109;18/2/2003;0,7416;0,5598
109;6/3/2003;0,3259;0,2567
109;22/3/2003;0,7212;0,6242
109;7/4/2003;0,6242;0,5232
109;23/4/2003;0,6161;0,5125
109;9/5/2003;0,6035;0,5430
109;25/5/2003;0,5588;0,4653
109;10/6/2003;0,4883;0,5377
109;26/6/2003;0,4742;0,4627
109;12/7/2003;0,5341;0,4946
109;28/7/2003;0,5208;0,4895
109;13/8/2003;0,4569;0,5019
109;29/8/2003;0,4926;0,4858
109;14/9/2003;0,543;0,4560
109;30/9/2003;0,6225;0,5009
109;16/10/2003;0,6927;0,5405
109;1/11/2003;0,6481;0,4552
109;17/11/2003;0,6422;0,3450
109;3/12/2003;0,798;0,5813
109;19/12/2003;0,3666;0,4507
109;1/1/2004;0,6856;0,5210
109;17/1/2004;0,8347;0,6179
109;2/2/2004;0,6528;0,4854
109;18/2/2004;0,6996;0,5273
109;5/3/2004;0,6095;0,2423
109;21/3/2004;0,6763;0,5699
109;6/4/2004;0,6957;0,5859
109;22/4/2004;0,4657;0,4349
109;8/5/2004;0,6291;0,5978
109;24/5/2004;0,6027;0,6002
109;9/6/2004;0,4648;0,5758
109;25/6/2004;0,3926;0,5888
109;11/7/2004;0,5654;0,5713
109;27/7/2004;0,5083;0,5129
109;12/8/2004;0,5525;0,5891
109;28/8/2004;0,5354;0,5625
109;13/9/2004;0,5565;0,5301
109;29/9/2004;0,5971;0,5636
109;15/10/2004;0,5688;0,5369
109;31/10/2004;0,6972;0,5890
109;16/11/2004;0,6014;0,4338
109;2/12/2004;0,5994;0,4353
109;18/12/2004;0,8592;0,5748
109;1/1/2005;0,7466;0,6400
109;17/1/2005;0,7836;0,5278
109;2/2/2005;0,8408;0,5168
109;18/2/2005;0,6012;0,5049
109;6/3/2005;0,6712;0,4915
109;22/3/2005;0,5873;0,6390
109;7/4/2005;0,7261;0,6239
109;23/4/2005;0,6147;0,4798
109;9/5/2005;0,5856;0,5338
109;25/5/2005;0,5479;0,5763
109;10/6/2005;0,1569;0,2135
109;26/6/2005;0,6113;0,5425
109;12/7/2005;0,5768;0,5267
109;28/7/2005;0,4965;0,5096
109;13/8/2005;0,4974;0,5135
109;29/8/2005;0,5624;0,4560
109;14/9/2005;0,494;0,4930
109;30/9/2005;0,5524;0,4339
109;16/10/2005;0,6008;0,4224
109;1/11/2005;0,6771;0,3768
109;17/11/2005;0,6608;0,5519
109;3/12/2005;0,8088;0,6622
109;19/12/2005;0,8924;0,5746
109;1/1/2006;0,8036;0,6198
109;17/1/2006;0,8067;0,6821
109;2/2/2006;0,6043;0,6132
109;18/2/2006;0,6662;0,5735
109;6/3/2006;0,6537;0,4755
109;22/3/2006;0,4847;0,6282
109;7/4/2006;0,6365;0,5287
109;23/4/2006;0,6532;0,5490
109;9/5/2006;0,6038;0,5642
109;25/5/2006;0,5596;0,5971
109;10/6/2006;0,5377;0,2348
109;26/6/2006;0,502;0,5236
109;12/7/2006;0,4677;0,5594
109;28/7/2006;0,5619;0,5090
109;13/8/2006;0,4784;0,5140
109;29/8/2006;0,4431;0,5228
109;14/9/2006;0,4993;0,4541
109;30/9/2006;0,6154;0,5518
109;16/10/2006;0,499;0,5797
109;1/11/2006;0,6561;0,5435
109;17/11/2006;0,7486;0,6072
109;3/12/2006;0,7887;0,5841
109;19/12/2006;0,8888;0,4288
109;1/1/2007;0,7385;0,5617
109;17/1/2007;0,1232;0,5329
109;2/2/2007;0,8367;0,5744
109;18/2/2007;0,7105;0,5308
109;6/3/2007;0,6473;0,4504
109;22/3/2007;0,7768;0,2093
109;7/4/2007;0,6805;0,5016
109;23/4/2007;0,6119;0,4734
109;9/5/2007;0,532;0,4567
109;25/5/2007;0,5477;0,5095
109;10/6/2007;0,2379;0,3299
109;26/6/2007;0,4488;0,4717
109;12/7/2007;0,5389;0,4397
109;28/7/2007;0,4295;0,4386
109;13/8/2007;0,4664;0,4970
109;29/8/2007;0,4572;0,4984
109;14/9/2007;0,5023;0,4858
109;30/9/2007;0,6453;0,5999
109;16/10/2007;0,7261;0,5069
109;1/11/2007;0,7403;0,6833
109;17/11/2007;0,8113;0,5192
109;3/12/2007;0,9015;0,5781
109;19/12/2007;0,8256;0,6117
109;1/1/2008;0,6907;0,5069
109;17/1/2008;0,3698;0,3860
109;2/2/2008;0,8404;0,4860
109;18/2/2008;0,6235;0,5290
109;5/3/2008;0,4904;0,2666
109;21/3/2008;0,5983;0,6452
109;6/4/2008;0,6155;0,4181
109;22/4/2008;0,5256;0,5214
109;8/5/2008;0,6089;0,5483
109;24/5/2008;0,5994;0,5018
109;9/6/2008;0,5867;0,4549
109;25/6/2008;0,5212;0,5123
109;11/7/2008;0,5218;0,4817
109;27/7/2008;0,5281;0,5031
109;12/8/2008;0,4903;0,4747
109;28/8/2008;0,4931;0,4646
109;13/9/2008;0,4456;0,4807
109;29/9/2008;0,5016;0,4779
109;15/10/2008;0,5538;0,4664
109;31/10/2008;0,6747;0,4823
109;16/11/2008;0,6784;0,5201
109;2/12/2008;0,7458;0,4938
109;18/12/2008;0,6732;0,3864
109;1/1/2009;0,6589;0,5162
109;17/1/2009;0,6929;0,4515
109;2/2/2009;0,7265;0,5027
109;18/2/2009;0,5812;0,5652
109;6/3/2009;0,7936;0,5878
109;22/3/2009;0,7008;0,4411
109;7/4/2009;0,6953;0,5041
109;23/4/2009;0,6391;0,4829
109;9/5/2009;0,5754;0,4732
109;25/5/2009;0,6068;0,4201
109;10/6/2009;0,6116;0,4703
109;26/6/2009;0,5399;0,4221
109;12/7/2009;0,4646;0,4256
109;28/7/2009;0,4881;0,4500
109;13/8/2009;0,429;0,4049
109;29/8/2009;0,4835;0,4237
109;14/9/2009;0,4773;0,3709
109;30/9/2009;0,4974;0,3520
109;16/10/2009;0,6346;0,4531
109;1/11/2009;0,6486;0,4499
109;17/11/2009;0,6393;0,5930
109;3/12/2009;0,7645;0,6108
109;19/12/2009;0,2504;0,2051
109;1/1/2010;0,5572;0,3917
109;17/1/2010;0,7158;0,4736
109;2/2/2010;0,8004;0,6005
109;18/2/2010;0,415;0,2893
109;6/3/2010;0,8243;0,6119
109;22/3/2010;0,7624;0,6267
109;7/4/2010;0,5901;0,4349
109;23/4/2010;0,6178;0,4237
109;9/5/2010;0,5928;0,5834
109;25/5/2010;0,5981;0,5263
109;10/6/2010;0,2137;0,2248
109;26/6/2010;0,534;0,4774
109;12/7/2010;0,4106;0,4494
109;28/7/2010;0,4419;0,4696
109;13/8/2010;0,4313;0,4815
109;29/8/2010;0,4239;0,4520
109;14/9/2010;0,4843;0,4861
109;30/9/2010;0,5168;0,4408
109;16/10/2010;0,6658;0,4689
109;1/11/2010;0,6464;0,4051
109;17/11/2010;0,6635;0,3806
109;3/12/2010;0,6087;0,3217
109;19/12/2010;0,6933;0,2961
109;1/1/2011;0,7958;0,6316
109;17/1/2011;0,8509;0,5683
109;2/2/2011;0,8843;0,6277
109;18/2/2011;0,6992;0,5037
109;6/3/2011;0,8344;0,6626
109;22/3/2011;0,7198;0,4674
109;7/4/2011;0,502;0,5201
109;23/4/2011;0,5778;0,5368
109;9/5/2011;0,5329;0,5709
109;25/5/2011;0,568;0,5095
109;10/6/2011;0,571;0,5740
109;26/6/2011;0,4536;0,4894
