ID;Parcela;Fecha;longitud;latitud
1;93;2004-08-12;-64,10402065;-22,99301982
2;96;2005-03-06;-64,10059807;-23,10018757
3;171-N;2005-03-22;-63,99314306;-22,92375294
4;173;2005-03-22;-63,99100394;-22,98973783
5;166;2005-04-07;-63,99991693;-22,73645696
6;203;2005-05-09;-63,95249983;-22,98711218
7;170-S;2005-05-25;-63,94765116;-23,10248309
8;97;2006-01-20;-64,09993256;-23,14049553
9;92;2006-03-06;-64,10544673;-22,95986806
10;201;2006-03-06;-63,95463895;-22,91948415
11;204;2006-04-07;-63,95071723;-23,02681967
12;94;2006-05-09;-64,10651629;-23,02944455
13;172-S;2006-06-26;-63,94063961;-23,2485458
14;124;2006-07-12;-64,06285453;-23,13769797
15;95;2006-07-28;-64,1029511;-23,06913957
16;174;2006-08-13;-63,98743875;-23,0251791
17;161;2007-05-09;-64,00562125;-22,54989185
18;169;2007-10-16;-63,99706478;-22,84492289
19;112;2009-07-28;-64,0794208;-22,69929578
20;195;2009-07-28;-63,9592737;-22,69765125
21;170-S;2009-08-29;-63,94765116;-23,10248309
22;199;2009-11-17;-63,9557085;-22,84426578
23;93;2010-06-26;-64,10402065;-22,99301982
24;137;2010-09-30;-64,04234276;-22,65949255
25;75;2010-12-03;-64,13803262;-23,21523863
26;165;2012-03-05;-63,99956041;-22,69830907
27;121;2012-04-22;-64,06622958;-23,02977266
28;134-S;2012-09-29;-64,0228768;-23,17525906
29;191;2012-10-15;-63,96640409;-22,54989185
30;168;2012-11-16;-63,99777782;-22,81173491
31;198;2012-11-16;-63,95784762;-22,81009173
32;91;2013-02-18;-64,10687281;-22,9257231
33;98;2013-02-18;-64,10059807;-23,17525906
34;135-S;2013-03-22;-64,01883624;-23,25116634
35;67;2013-06-26;-64,1485856;-22,92670817
36;134-N;2013-06-26;-64,04555144;-22,55153815
37;109;2013-08-13;-64,08155992;-22,58972682
38;160;2013-08-29;-64,00776036;-22,5139976
39;136;2013-09-14;-64,04162973;-22,62593044
40;163;2013-09-14;-64,00276909;-22,62428503
41;108;2013-09-30;-64,08381979;-22,55219089
42;135-N;2013-09-30;-64,04448188;-22,58577676
43;192;2013-09-30;-63,96462149;-22,58083902
44;94;2014-01-20;-64,10651629;-23,02944455
45;124;2014-02-05;-64,06285453;-23,13769797
46;92;2014-03-22;-64,10544673;-22,95986806
47;95;2014-03-22;-64,1029511;-23,06913957
48;174;2014-03-22;-63,98743875;-23,0251791
49;199;2014-03-22;-63,9557085;-22,84426578
50;204;2014-03-22;-63,95071723;-23,02681967
51;93;2014-06-26;-64,10402065;-22,99301982
52;114;2014-07-28;-64,07478605;-22,77295058
53;141;2014-08-13;-64,03556889;-22,81272081
54;137;2014-09-14;-64,04234276;-22,65949255
55;169;2014-11-17;-63,99706478;-22,84492289
56;170-S;2015-04-07;-63,94765116;-23,10248309
57;171-S;2016-01-04;-63,94408597;-23,1736203
58;172-S;2016-12-18;-63,94063961;-23,2485458
59;134-S;2017-04-23;-64,0228768;-23,17525906
60;168;2017-04-23;-63,99777782;-22,81173491
61;198;2017-05-09;-63,95784762;-22,81009173
62;136;2017-08-29;-64,04162973;-22,62593044
63;163;2017-08-29;-64,00276909;-22,62428503
64;135-N;2017-09-14;-64,04448188;-22,58577676
65;97;2017-12-19;-64,09993256;-23,14049553
66;65;2018-03-06;-64,14715952;-22,84985111
67;67;2018-05-09;-64,1485856;-22,92670817
68;193;2018-11-01;-63,96533453;-22,62231051
69;91;2019-02-05;-64,10687281;-22,9257231
70;98;2019-02-05;-64,10059807;-23,17525906
71;135-S;2019-02-05;-64,01883624;-23,25116634
72;192;2019-02-05;-63,96462149;-22,58083902
73;88;2019-06-26;-64,11257712;-22,81436395
74;142;2019-07-12;-64,03628193;-22,84590855
75;90;2019-08-29;-64,10972497;-22,88532901
76;116;2019-08-29;-64,07335997;-22,8475513
77;118;2019-08-29;-64,07050781;-22,92342457
78;117;2019-09-14;-64,07157737;-22,88401518
79;89;2019-10-16;-64,11043801;-22,85017965
80;188;2019-11-01;-63,9233054;-22,43631185
81;121;2019-11-17;-64,06622958;-23,02977266
82;195;2020-02-05;-63,9592737;-22,69765125
83;166;2020-03-21;-63,99991693;-22,73645696
84;94;2020-08-28;-64,10651629;-23,02944455
85;112;2020-09-13;-64,0794208;-22,69929578
86;75;2021-02-18;-64,13803262;-23,21523863
