longitud,latitud,parcela_ID,Altitud1
-64.1471595246,-22.8498511116,"65",807
-64.1496551618,-22.88532901,"66",700
-64.148585603,-22.9267081736,"67",649
-64.1380326231,-23.2152386298,"75",372
-64.1150727614,-22.7371145868,"86",891
-64.1132901635,-22.7739367605,"87",610
-64.1125771243,-22.8143639538,"88",696
-64.1104380067,-22.8501796532,"89",586
-64.1097249675,-22.88532901,"90",565
-64.1068728108,-22.9257231022,"91",564
-64.1054467324,-22.9598680624,"92",539
-64.1040206541,-22.9930198229,"93",505
-64.1065162912,-23.0294445496,"94",492
-64.1029510953,-23.0691395725,"95",431
-64.100598066,-23.1001875703,"96",389
-64.0999325628,-23.1404955288,"97",360
-64.100598066,-23.17525906,"98",320
-64.0959633113,-23.2122897258,"99",289
-64.0838197859,-22.5521908948,"108",844
-64.0815599198,-22.5897268202,"109",884
-64.0801338415,-22.6265885975,"110",727
-64.0797773219,-22.6621245239,"111",621
-64.0794208023,-22.6992957831,"112",610
-64.0747860476,-22.7729505817,"114",558
-64.0758556064,-22.813706697,"115",544
-64.0733599692,-22.8475512986,"116",520
-64.0715773713,-22.884015179,"117",527
-64.0705078125,-22.9234245744,"118",520
-64.0680121753,-22.9598680624,"119",439
-64.0676556558,-22.991378838,"120",409
-64.0662295774,-23.0297726556,"121",384
-64.0662295774,-23.0668434852,"122",348
-64.0628069893,-23.1014992996,"123",327
-64.0628545253,-23.1376979705,"124",311
-64.0092266173,-22.4359823149,"131",726
-64.047334039,-22.5156443266,"133",672
-64.0228767951,-23.17525906,134-S,285
-64.0455514411,-22.5515381466,134-N,620
-64.0188362397,-23.2511663406,135-S,285
-64.0444818823,-22.5857767585,135-N,595
-64.0416297256,-22.6259304381,"136",538
-64.0423427648,-22.6594925484,"137",543
-64.0369949709,-22.7719643957,"140",509
-64.0355688925,-22.8127208058,"141",510
-64.0362819317,-22.8459085512,"142",493
-64.0337862946,-22.8810590128,"143",437
-64.0330732554,-22.9217827449,"144",421
-64.0295080595,-22.957898395,"145",407
-64.0302210987,-22.9910506386,"146",395
-64.0287950203,-23.0284602269,"147",382
-64.0248733048,-23.0648753791,"148",351
-64.0243028734,-23.1018272299,"149",313
-63.9671573055,-22.3238957892,"155",700
-63.9678703446,-22.3618175107,"156",653
-63.9682268642,-22.3964326763,"157",629
-63.9675138251,-22.4353232465,"158",586
-64.0102560015,-22.4777645925,"159",623
-64.0077603644,-22.5139975973,"160",570
-64.0056212468,-22.5498918453,"161",538
-64.0052647273,-22.5851184039,"162",529
-64.0027690901,-22.6242850258,"163",524
-64.0020560509,-22.6604795451,"164",515
-63.9995604138,-22.6983090658,"165",467
-63.9999169334,-22.7364569578,"166",455
-63.9956386983,-22.7729505817,"167",453
-63.9977778158,-22.8117349074,"168",425
-63.9970647767,-22.8449228932,"169",413
-63.9476511613,-23.1024830882,170-S,297
-63.9938561003,-22.8810590128,170-N,408
-63.9440859654,-23.1736202981,171-S,282
-63.9931430611,-22.9237529379,171-N,403
-63.9406396093,-23.2485458012,172-S,277
-63.9913604632,-22.9582266749,172-N,404
-63.9910039436,-22.9897378332,"173",400
-63.9874387477,-23.0251790992,"174",382
-63.9852996301,-23.0632352688,"175",337
-63.9304357875,-22.1747471812,"181",895
-63.9258010329,-22.2123792795,"182",865
-63.92829667,-22.2500012876,"183",778
-63.9290097092,-22.285963759,"184",701
-63.9329314247,-22.3229063889,"185",721
-63.9347140226,-22.3644551596,"186",749
-63.9236619153,-22.3947845304,"187",664
-63.9233053957,-22.4363118479,"188",713
-63.9685432093,-22.4780940262,"189",598
-63.9678301702,-22.5133389002,"190",610
-63.9664040918,-22.5498918453,"191",642
-63.9646214938,-22.580839022,"192",625
-63.965334533,-22.622310505,"193",625
-63.9628388959,-22.6571895285,"194",525
-63.9592737,-22.6976512503,"195",571
-63.9592737,-22.7348128714,"196",516
-63.9585606608,-22.7680195807,"197",517
-63.9578476216,-22.8100917277,"198",466
-63.955708504,-22.8442657839,"199",438
-63.9564215432,-22.8797451405,"200",406
-63.9546389453,-22.9194841503,"201",381
-63.9528563473,-22.9552721272,"202",396
-63.9524998277,-22.987112184,"203",393
-63.9507172298,-23.026819673,"204",384
-63.9286130151,-22.4767762867,"219",648
-63.929278438,-22.5136817394,"220",732
-63.9275434563,-22.5482455244,"221",687
-63.9268304171,-22.5821557691,"222",682
-63.9254043388,-22.6209941421,"223",673
-63.9241064152,-22.659979046,"224",649
