ID;Parcela;Fecha;Longitud;Latitud;Altitud
1;93;2004-08-12;-64,10402065;-22,99301982;505
2;96;2005-03-06;-64,10059807;-23,10018757;389
3;171-N;2005-03-22;-63,99314306;-22,92375294;403
4;173;2005-03-22;-63,99100394;-22,98973783;400
5;166;2005-04-07;-63,99991693;-22,73645696;455
6;203;2005-05-09;-63,95249983;-22,98711218;393
7;170-S;2005-05-25;-63,94765116;-23,10248309;297
8;97;2006-01-20;-64,09993256;-23,14049553;360
9;92;2006-03-06;-64,10544673;-22,95986806;539
10;201;2006-03-06;-63,95463895;-22,91948415;381
11;204;2006-04-07;-63,95071723;-23,02681967;384
12;94;2006-05-09;-64,10651629;-23,02944455;492
13;172-S;2006-06-26;-63,94063961;-23,2485458;277
14;124;2006-07-12;-64,06285453;-23,13769797;311
15;95;2006-07-28;-64,1029511;-23,06913957;431
16;174;2006-08-13;-63,98743875;-23,0251791;382
17;161;2007-05-09;-64,00562125;-22,54989185;538
18;169;2007-10-16;-63,99706478;-22,84492289;413
19;112;2009-07-28;-64,0794208;-22,69929578;610
20;195;2009-07-28;-63,9592737;-22,69765125;571
21;170-S;2009-08-29;-63,94765116;-23,10248309;297
22;199;2009-11-17;-63,9557085;-22,84426578;438
23;93;2010-06-26;-64,10402065;-22,99301982;505
24;137;2010-09-30;-64,04234276;-22,65949255;543
25;75;2010-12-03;-64,13803262;-23,21523863;372
26;165;2012-03-05;-63,99956041;-22,69830907;467
27;121;2012-04-22;-64,06622958;-23,02977266;384
28;134-S;2012-09-29;-64,0228768;-23,17525906;285
29;191;2012-10-15;-63,96640409;-22,54989185;642
30;168;2012-11-16;-63,99777782;-22,81173491;425
31;198;2012-11-16;-63,95784762;-22,81009173;466
32;91;2013-02-18;-64,10687281;-22,9257231;564
33;98;2013-02-18;-64,10059807;-23,17525906;320
34;135-S;2013-03-22;-64,01883624;-23,25116634;285
35;67;2013-06-26;-64,1485856;-22,92670817;649
36;134-N;2013-06-26;-64,04555144;-22,55153815;620
37;109;2013-08-13;-64,08155992;-22,58972682;884
38;160;2013-08-29;-64,00776036;-22,5139976;570
39;136;2013-09-14;-64,04162973;-22,62593044;538
40;163;2013-09-14;-64,00276909;-22,62428503;524
41;108;2013-09-30;-64,08381979;-22,55219089;844
42;135-N;2013-09-30;-64,04448188;-22,58577676;595
43;192;2013-09-30;-63,96462149;-22,58083902;625
44;94;2014-01-20;-64,10651629;-23,02944455;492
45;124;2014-02-05;-64,06285453;-23,13769797;311
46;92;2014-03-22;-64,10544673;-22,95986806;539
47;95;2014-03-22;-64,1029511;-23,06913957;431
48;174;2014-03-22;-63,98743875;-23,0251791;382
49;199;2014-03-22;-63,9557085;-22,84426578;438
50;204;2014-03-22;-63,95071723;-23,02681967;384
51;93;2014-06-26;-64,10402065;-22,99301982;505
52;114;2014-07-28;-64,07478605;-22,77295058;558
53;141;2014-08-13;-64,03556889;-22,81272081;510
54;137;2014-09-14;-64,04234276;-22,65949255;543
55;169;2014-11-17;-63,99706478;-22,84492289;413
56;170-S;2015-04-07;-63,94765116;-23,10248309;297
57;171-S;2016-01-04;-63,94408597;-23,1736203;282
58;172-S;2016-12-18;-63,94063961;-23,2485458;277
59;134-S;2017-04-23;-64,0228768;-23,17525906;285
60;168;2017-04-23;-63,99777782;-22,81173491;425
61;198;2017-05-09;-63,95784762;-22,81009173;466
62;136;2017-08-29;-64,04162973;-22,62593044;538
63;163;2017-08-29;-64,00276909;-22,62428503;524
64;135-N;2017-09-14;-64,04448188;-22,58577676;595
65;97;2017-12-19;-64,09993256;-23,14049553;360
66;65;2018-03-06;-64,14715952;-22,84985111;807
67;67;2018-05-09;-64,1485856;-22,92670817;649
68;193;2018-11-01;-63,96533453;-22,62231051;625
69;91;2019-02-05;-64,10687281;-22,9257231;564
70;98;2019-02-05;-64,10059807;-23,17525906;320
71;135-S;2019-02-05;-64,01883624;-23,25116634;285
72;192;2019-02-05;-63,96462149;-22,58083902;625
73;88;2019-06-26;-64,11257712;-22,81436395;696
74;142;2019-07-12;-64,03628193;-22,84590855;493
75;90;2019-08-29;-64,10972497;-22,88532901;565
76;116;2019-08-29;-64,07335997;-22,8475513;520
77;118;2019-08-29;-64,07050781;-22,92342457;520
78;117;2019-09-14;-64,07157737;-22,88401518;527
79;89;2019-10-16;-64,11043801;-22,85017965;586
80;188;2019-11-01;-63,9233054;-22,43631185;713
81;121;2019-11-17;-64,06622958;-23,02977266;384
82;195;2020-02-05;-63,9592737;-22,69765125;571
83;166;2020-03-21;-63,99991693;-22,73645696;455
84;94;2020-08-28;-64,10651629;-23,02944455;492
85;112;2020-09-13;-64,0794208;-22,69929578;610
86;75;2021-02-18;-64,13803262;-23,21523863;372
